name,time,Ahr2empty,avgVoltage,local_dt,medianV,pakMinV,pakMinV_ID,pak_01,pak_02,pak_03,pak_04,pak_05,pak_06,pak_07,pak_08,pak_09,pak_10,pak_11,pak_12,pak_13,pak_14,pak_15,pak_16,pak_17,pak_18,pak_19,pak_20,pak_21,pak_22,pak_23,pak_24,pak_25,pak_26,pak_27,pak_28,soc
d1_lowPack,2023-11-27T19:43:58.782332685Z,604.219,56.81,2023-11-27T14:43:58,4.055,4.03,27,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.06,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.055,4.05,4.055,4.05,4.03,4.05,100.53
d1_lowPack,2023-11-27T19:44:29.596659013Z,604.195,56.82,2023-11-27T14:44:29,4.055,4.03,27,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.06,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.055,4.05,4.03,4.05,100.53
d1_lowPack,2023-11-27T19:44:50.64670734Z,604.179,56.82,2023-11-27T14:44:50,4.055,4.03,27,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.06,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.055,4.05,4.05,4.05,4.03,4.05,100.52
d1_lowPack,2023-11-27T19:45:21.341625028Z,604.154,56.81,2023-11-27T14:45:21,4.06,4.03,27,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.06,4.055,4.055,4.03,4.05,100.52
d1_lowPack,2023-11-27T19:45:42.495284341Z,604.241,57.03,2023-11-27T14:45:42,4.055,4.035,27,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.035,4.055,100.53
d1_lowPack,2023-11-27T19:46:13.137818115Z,604.182,56.77,2023-11-27T14:46:13,4.05,4.03,27,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.055,4.055,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.03,4.05,100.52
d1_lowPack,2023-11-27T19:46:34.433958131Z,604.153,56.79,2023-11-27T14:46:34,4.055,4.03,27,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.055,4.05,4.055,4.05,4.03,4.05,100.52
d1_lowPack,2023-11-27T19:47:04.974996705Z,604.122,56.8,2023-11-27T14:47:04,4.055,4.03,27,4.06,4.06,4.06,4.06,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.055,4.05,4.05,4.05,4.05,4.05,4.03,4.05,100.51
d1_lowPack,2023-12-10T19:49:54.915121491Z,144.541,46.97,2023-12-10T14:49:54,3.365,3.335,24,3.385,3.37,3.37,3.38,3.395,3.38,3.365,3.37,3.38,3.36,3.36,3.365,3.35,3.35,3.38,3.385,3.395,3.38,3.37,3.355,3.35,3.35,3.365,3.34,3.35,3.36,3.405,3.36,24.04
d1_lowPack,2023-12-10T19:52:30.569504415Z,143.453,46.96,2023-12-10T14:52:30,3.36,3.34,24,3.385,3.37,3.37,3.38,3.395,3.38,3.36,3.37,3.38,3.36,3.355,3.36,3.35,3.345,3.38,3.385,3.395,3.38,3.365,3.35,3.35,3.345,3.36,3.34,3.35,3.355,3.41,3.36,23.86
