name,time,Ahr2empty,avgVoltage,local_dt,medianV,pak2ndMinV,pak2ndMinV_ID,pakMinV,pakMinV_ID,soc
lowPack,2023-08-26T21:17:34.957820213Z,580.882125,55.72611111111112,2023-08-26T17:17:34,3.975,3.975,24,3.975,28,96.65
lowPack,2023-08-26T21:18:05.46950052Z,580.68025,55.79078431372548,2023-08-26T17:18:05,3.975,3.975,24,3.975,28,96.61
lowPack,2023-08-26T21:21:02.235060378Z,579.2203125,55.78333333333332,2023-08-26T17:21:02,3.97,3.97,26,3.97,24,96.37
lowPack,2023-08-31T05:54:04.431309326Z,120.093,45.59,2023-08-31T01:54:04,3.21,3.21,27,3.21,27,19.98
lowPack,2023-08-31T05:54:35.350931325Z,119.919,45.57,2023-08-31T01:54:35,3.21,3.21,27,3.21,27,19.95
lowPack,2023-08-31T05:54:56.444112541Z,119.8,45.55,2023-08-31T01:54:56,3.205,3.205,27,3.205,27,19.93
lowPack,2023-08-31T05:55:26.962037747Z,119.627,45.52,2023-08-31T01:55:26,3.2,3.2,27,3.2,27,19.9
lowPack,2023-08-31T05:55:48.258283364Z,119.507,45.49,2023-08-31T01:55:48,3.2,3.2,27,3.2,27,19.88
lowPack,2023-08-31T05:56:18.971989375Z,119.332,45.47,2023-08-31T01:56:18,3.2,3.2,27,3.2,27,19.85
lowPack,2023-08-31T05:56:40.078090429Z,119.212,45.44,2023-08-31T01:56:40,3.2,3.195,27,3.195,27,19.83
lowPack,2023-08-31T05:57:10.792260278Z,119.016,45.37,2023-08-31T01:57:10,3.185,3.185,27,3.185,27,19.8
lowPack,2023-08-31T05:57:32.084567016Z,118.877,45.32,2023-08-31T01:57:32,3.19,3.19,27,3.19,27,19.77
lowPack,2023-08-31T05:58:02.569841216Z,118.677,45.29,2023-08-31T01:58:02,3.185,3.185,27,3.185,27,19.74
lowPack,2023-08-31T05:58:23.907350822Z,118.54,45.26,2023-08-31T01:58:23,3.18,3.18,27,3.18,27,19.72
lowPack,2023-08-31T05:58:54.401053036Z,118.34,45.22,2023-08-31T01:58:54,3.18,3.18,27,3.18,27,19.69
lowPack,2023-08-31T05:59:15.589610736Z,118.203,45.19,2023-08-31T01:59:15,3.18,3.18,27,3.18,27,19.66
lowPack,2023-08-31T05:59:46.321679455Z,118.003,45.16,2023-08-31T01:59:46,3.17,3.17,27,3.17,27,19.63
lowPack,2023-08-31T06:00:07.48973719Z,117.865,45.12,2023-08-31T02:00:07,3.17,3.17,27,3.17,27,19.61
lowPack,2023-08-31T06:00:38.140718116Z,117.662,45.08,2023-08-31T02:00:38,3.17,3.17,27,3.17,27,19.57
lowPack,2023-08-31T06:00:59.333679478Z,117.523,45.05,2023-08-31T02:00:59,3.165,3.165,27,3.165,27,19.55
lowPack,2023-08-31T06:01:29.991995503Z,117.363,45.09,2023-08-31T02:01:29,3.16,3.16,27,3.16,27,19.52
lowPack,2023-08-31T06:01:51.235487073Z,117.472,45.71,2023-08-31T02:01:51,3.18,3.18,27,3.18,27,19.54
lowPack,2023-08-31T06:02:21.885335323Z,117.843,46.26,2023-08-31T02:02:21,3.22,3.215,27,3.215,27,19.6
lowPack,2023-08-31T06:02:43.151545863Z,118.166,46.57,2023-08-31T02:02:43,3.25,3.25,27,3.25,27,19.66
lowPack,2023-08-31T06:03:13.904469507Z,118.63,46.71,2023-08-31T02:03:13,3.265,3.265,27,3.265,27,19.73
lowPack,2023-08-31T06:04:05.719722093Z,119.416,46.88,2023-08-31T02:04:05,3.275,3.275,27,3.275,27,19.87
lowPack,2023-08-31T06:04:26.815960575Z,119.733,47.01,2023-08-31T02:04:26,3.29,3.29,27,3.29,27,19.92
lowPack,2023-09-09T11:35:24.967387342Z,120.168,45.91,2023-09-09T07:35:24,3.285,3.26,13,3.18,27,19.99
lowPack,2023-09-09T11:35:46.265571627Z,119.976,45.89,2023-09-09T07:35:46,3.285,3.26,24,3.18,27,19.96
lowPack,2023-09-09T11:36:16.779478899Z,119.7,45.86,2023-09-09T07:36:16,3.28,3.255,14,3.175,27,19.91
lowPack,2023-09-09T11:36:38.073055174Z,119.515,45.84,2023-09-09T07:36:38,3.28,3.25,14,3.17,27,19.88
lowPack,2023-09-09T11:37:08.596405862Z,119.25,45.82,2023-09-09T07:37:08,3.28,3.17,27,3.17,27,19.84
lowPack,2023-09-09T11:37:29.892982378Z,119.069,45.79,2023-09-09T07:37:29,3.28,3.25,13,3.17,27,19.81
lowPack,2023-09-09T11:38:00.612874892Z,118.802,45.75,2023-09-09T07:38:00,3.27,3.245,14,3.16,27,19.76
lowPack,2023-09-09T11:38:21.7068222Z,118.619,45.72,2023-09-09T07:38:21,3.27,3.24,14,3.16,27,19.73
lowPack,2023-09-09T11:38:52.428155548Z,118.353,45.68,2023-09-09T07:38:52,3.27,3.16,27,3.155,27,19.69
lowPack,2023-09-09T11:39:13.524169421Z,118.169,45.64,2023-09-09T07:39:13,3.27,3.24,24,3.15,27,19.66
lowPack,2023-09-09T11:39:44.448753604Z,117.908,45.62,2023-09-09T07:39:44,3.265,3.15,27,3.15,27,19.61
lowPack,2023-09-09T11:40:05.889701501Z,117.731,45.59,2023-09-09T07:40:05,3.26,3.15,27,3.145,27,19.58
lowPack,2023-09-09T11:40:36.059683808Z,117.478,45.57,2023-09-09T07:40:36,3.26,3.145,27,3.14,27,19.54
lowPack,2023-09-09T11:40:57.358986214Z,117.3,45.53,2023-09-09T07:40:57,3.26,3.14,27,3.14,27,19.51
lowPack,2023-09-09T11:41:28.070407106Z,117.04,45.49,2023-09-09T07:41:28,3.25,3.135,27,3.13,27,19.47
lowPack,2023-09-09T11:41:49.172104864Z,116.857,45.44,2023-09-09T07:41:49,3.25,3.13,27,3.13,27,19.44
lowPack,2023-09-09T11:42:19.893896571Z,116.593,45.4,2023-09-09T07:42:19,3.25,3.125,27,3.125,27,19.39
lowPack,2023-09-09T11:42:41.188838404Z,116.406,45.36,2023-09-09T07:42:41,3.245,3.125,27,3.12,27,19.36
lowPack,2023-09-09T11:43:11.705833739Z,116.138,45.32,2023-09-09T07:43:11,3.24,3.12,27,3.115,27,19.32
lowPack,2023-09-09T11:43:33.006208585Z,115.952,45.27,2023-09-09T07:43:32,3.24,3.115,27,3.11,27,19.29
lowPack,2023-09-09T11:44:24.820833958Z,115.496,45.22,2023-09-09T07:44:24,3.23,3.105,27,3.1,27,19.21
lowPack,2023-09-09T11:44:55.54074862Z,115.23,45.16,2023-09-09T07:44:55,3.23,3.095,27,3.095,27,19.17
lowPack,2023-09-09T11:45:16.639090551Z,115.047,45.12,2023-09-09T07:45:16,3.23,3.095,27,3.095,27,19.14
lowPack,2023-09-09T11:45:47.353734584Z,114.787,45.09,2023-09-09T07:45:47,3.225,3.09,27,3.09,27,19.09
lowPack,2023-09-09T11:46:08.693711075Z,114.59,45,2023-09-09T07:46:08,3.21,3.09,27,3.075,27,19.06
lowPack,2023-09-09T11:46:39.168491298Z,114.162,44.63,2023-09-09T07:46:39,3.2,3.05,27,3.05,27,18.99
lowPack,2023-09-09T11:47:31.595475442Z,114.616,45.94,2023-09-09T07:47:31,3.295,3.115,27,3.045,27,19.07
lowPack,2023-09-09T11:47:53.30451699Z,114.986,46.7,2023-09-09T07:47:53,3.31,3.18,27,3.175,27,19.13
lowPack,2023-09-09T11:48:22.999163919Z,115.531,46.87,2023-09-09T07:48:22,3.32,3.2,27,3.19,27,19.22
lowPack,2023-09-09T11:48:44.096535171Z,115.914,47.02,2023-09-09T07:48:44,3.33,3.22,27,3.21,27,19.28
lowPack,2023-09-09T11:49:14.821033381Z,116.467,47.13,2023-09-09T07:49:14,3.34,3.22,27,3.22,27,19.37
lowPack,2023-09-09T11:50:06.633149937Z,117.394,47.3,2023-09-09T07:50:06,3.355,3.24,27,3.235,27,19.53
lowPack,2023-09-09T11:50:27.924858156Z,117.773,47.43,2023-09-09T07:50:27,3.36,3.26,27,3.26,27,19.59
lowPack,2023-09-09T11:50:58.439412876Z,118.319,47.52,2023-09-09T07:50:58,3.37,3.265,27,3.265,27,19.68
lowPack,2023-09-09T11:51:19.74330561Z,118.697,47.6,2023-09-09T07:51:19,3.37,3.28,27,3.275,27,19.75
lowPack,2023-09-09T11:51:50.464199568Z,119.246,47.68,2023-09-09T07:51:50,3.38,3.29,27,3.28,27,19.84
lowPack,2023-09-09T11:52:11.558618597Z,119.628,47.77,2023-09-09T07:52:11,3.385,3.295,27,3.29,27,19.9
lowPack,2023-09-11T08:32:52.602973543Z,120.048,46.21,2023-09-11T04:32:52,3.3,3.28,14,3.22,27,19.97
lowPack,2023-09-11T08:33:13.712440377Z,119.91,46.17,2023-09-11T04:33:13,3.3,3.22,27,3.22,27,19.95
lowPack,2023-09-11T08:33:44.430416744Z,119.71,46.15,2023-09-11T04:33:44,3.3,3.22,27,3.22,27,19.91
lowPack,2023-09-11T08:34:05.71347651Z,119.571,46.12,2023-09-11T04:34:05,3.295,3.275,14,3.215,27,19.89
lowPack,2023-09-11T08:34:36.229217438Z,119.371,46.1,2023-09-11T04:34:36,3.29,3.215,27,3.215,27,19.86
lowPack,2023-09-11T08:34:57.527061414Z,119.232,46.08,2023-09-11T04:34:57,3.29,3.215,27,3.21,27,19.83
lowPack,2023-09-11T08:35:28.104809746Z,119.091,46.16,2023-09-11T04:35:28,3.295,3.21,27,3.21,27,19.81
lowPack,2023-09-11T08:35:49.548792724Z,119,46.17,2023-09-11T04:35:49,3.295,3.28,7,3.22,27,19.8
lowPack,2023-09-11T08:36:19.955211668Z,118.869,46.16,2023-09-11T04:36:19,3.295,3.275,14,3.215,27,19.77
lowPack,2023-09-11T08:36:41.361200571Z,118.778,46.15,2023-09-11T04:36:41,3.29,3.215,27,3.215,27,19.76
lowPack,2023-09-11T08:37:11.79230033Z,118.646,46.14,2023-09-11T04:37:11,3.29,3.275,11,3.21,27,19.74
lowPack,2023-09-11T08:37:33.178361537Z,118.555,46.13,2023-09-11T04:37:33,3.29,3.27,14,3.21,27,19.72
lowPack,2023-09-11T08:38:03.693046485Z,118.42,46.11,2023-09-11T04:38:03,3.285,3.21,27,3.205,27,19.7
lowPack,2023-09-11T08:38:24.990927764Z,118.279,45.97,2023-09-11T04:38:24,3.28,3.205,27,3.2,27,19.67
lowPack,2023-09-11T08:38:55.536645835Z,118.074,45.92,2023-09-11T04:38:55,3.28,3.2,27,3.2,27,19.64
lowPack,2023-09-11T08:39:16.805714588Z,117.931,45.89,2023-09-11T04:39:16,3.28,3.195,27,3.195,27,19.62
lowPack,2023-09-11T08:39:47.432471148Z,117.742,45.89,2023-09-11T04:39:47,3.28,3.19,27,3.19,27,19.59
lowPack,2023-09-11T08:40:08.814599209Z,117.617,45.88,2023-09-11T04:40:08,3.275,3.19,27,3.19,27,19.56
lowPack,2023-09-11T08:40:39.3426579Z,117.436,45.85,2023-09-11T04:40:39,3.27,3.19,27,3.19,27,19.53
lowPack,2023-09-11T08:41:00.462667354Z,117.31,45.84,2023-09-11T04:41:00,3.27,3.19,27,3.19,27,19.51
lowPack,2023-09-11T08:41:31.123511733Z,117.132,45.81,2023-09-11T04:41:31,3.27,3.19,27,3.185,27,19.48
lowPack,2023-09-11T08:41:52.453206774Z,117.007,45.79,2023-09-11T04:41:52,3.27,3.185,27,3.18,27,19.46
lowPack,2023-09-11T08:42:22.9634753Z,116.829,45.76,2023-09-11T04:42:22,3.27,3.18,27,3.18,27,19.43
lowPack,2023-09-11T08:42:44.470103591Z,116.703,45.74,2023-09-11T04:42:44,3.265,3.18,27,3.18,27,19.41
lowPack,2023-09-11T08:43:14.985305668Z,116.525,45.71,2023-09-11T04:43:14,3.26,3.24,14,3.175,27,19.38
lowPack,2023-09-11T08:43:36.063557286Z,116.401,45.69,2023-09-11T04:43:36,3.26,3.24,11,3.17,27,19.36
lowPack,2023-09-11T08:44:06.700785874Z,116.22,45.66,2023-09-11T04:44:06,3.26,3.17,27,3.17,27,19.33
lowPack,2023-09-11T08:44:28.09128558Z,116.095,45.63,2023-09-11T04:44:28,3.26,3.17,27,3.17,27,19.31
lowPack,2023-09-11T08:44:58.605012199Z,115.915,45.61,2023-09-11T04:44:58,3.255,3.165,27,3.165,27,19.28
lowPack,2023-09-11T08:45:19.915019225Z,115.796,45.59,2023-09-11T04:45:19,3.255,3.165,27,3.16,27,19.26
lowPack,2023-09-11T08:45:50.63353357Z,115.613,45.56,2023-09-11T04:45:50,3.25,3.23,14,3.16,27,19.23
lowPack,2023-09-11T08:46:42.449432691Z,115.311,45.52,2023-09-11T04:46:42,3.25,3.16,27,3.155,27,19.18
lowPack,2023-09-11T08:47:03.543735052Z,115.189,45.48,2023-09-11T04:47:03,3.25,3.225,11,3.155,27,19.16
lowPack,2023-09-11T08:47:34.261906574Z,115.012,45.46,2023-09-11T04:47:34,3.245,3.15,27,3.15,27,19.13
lowPack,2023-09-11T08:47:55.56066128Z,114.892,45.43,2023-09-11T04:47:55,3.24,3.22,11,3.15,27,19.11
lowPack,2023-09-11T08:48:26.076758794Z,114.713,45.41,2023-09-11T04:48:26,3.24,3.15,27,3.145,27,19.08
lowPack,2023-09-11T08:48:47.27203631Z,114.588,45.37,2023-09-11T04:48:47,3.24,3.215,11,3.14,27,19.06
lowPack,2023-09-11T08:49:17.863070177Z,114.41,45.35,2023-09-11T04:49:17,3.235,3.14,27,3.14,27,19.03
lowPack,2023-09-11T08:49:39.191917532Z,114.286,45.32,2023-09-11T04:49:39,3.235,3.14,27,3.135,27,19.01
lowPack,2023-09-11T08:50:09.912996952Z,114.106,45.29,2023-09-11T04:50:09,3.23,3.135,27,3.13,27,18.98
lowPack,2023-09-11T08:50:30.95232941Z,113.983,45.26,2023-09-11T04:50:30,3.23,3.13,27,3.13,27,18.96
lowPack,2023-09-11T08:51:01.608824498Z,113.805,45.24,2023-09-11T04:51:01,3.23,3.205,11,3.13,27,18.93
lowPack,2023-09-11T08:51:22.86628078Z,113.683,45.21,2023-09-11T04:51:22,3.225,3.13,27,3.125,27,18.91
lowPack,2023-09-11T08:51:53.499918079Z,113.502,45.18,2023-09-11T04:51:53,3.22,3.12,27,3.12,27,18.88
lowPack,2023-09-11T08:52:14.69815531Z,113.376,45.15,2023-09-11T04:52:14,3.22,3.12,27,3.12,27,18.86
lowPack,2023-09-11T08:52:45.413520389Z,113.192,45.11,2023-09-11T04:52:45,3.22,3.115,27,3.115,27,18.83
lowPack,2023-09-11T08:53:06.586862171Z,113.067,45.08,2023-09-11T04:53:06,3.22,3.11,27,3.11,27,18.81
lowPack,2023-09-11T08:53:37.193409868Z,112.887,45.06,2023-09-11T04:53:37,3.215,3.11,27,3.11,27,18.78
lowPack,2023-09-11T08:53:58.421317381Z,112.907,45.39,2023-09-11T04:53:58,3.245,3.11,27,3.11,27,18.78
lowPack,2023-09-11T08:54:29.110333337Z,113.223,45.99,2023-09-11T04:54:29,3.27,3.145,27,3.14,27,18.83
lowPack,2023-09-11T08:54:50.331912686Z,113.531,46.36,2023-09-11T04:54:50,3.285,3.25,7,3.175,27,18.89
lowPack,2023-09-11T08:55:21.006548241Z,113.989,46.51,2023-09-11T04:55:20,3.3,3.19,27,3.19,27,18.96
lowPack,2023-09-11T08:55:42.170391082Z,114.306,46.63,2023-09-11T04:55:42,3.305,3.21,27,3.21,27,19.02
lowPack,2023-09-11T08:56:12.861281043Z,114.762,46.72,2023-09-11T04:56:12,3.31,3.215,27,3.215,27,19.09
lowPack,2023-09-11T08:56:34.021903142Z,115.075,46.81,2023-09-11T04:56:34,3.32,3.23,27,3.23,27,19.14
lowPack,2023-09-11T08:57:04.83944508Z,115.533,46.9,2023-09-11T04:57:04,3.325,3.235,27,3.235,27,19.22
