name,time,avgWatts,interval,kWh_charge,kWh_discharge,local_dt,maxChargeCurrent,maxChargeWatts,maxDischargeCurrent,maxDischargeWatts,min_Ahr2empty,min_m30Voltage,min_soc,pakMinT,pakMinV,yr_mo
battery,2023-05-14T20:30:00Z,-537.0862363438056,0.4924378919601441,11.313994140625,5.0351767578125,2023-05-14T16:59:40,-4.06,-230.46,-37.36,-2110.14,595.807875,56.57059999999997,99.13,15,4.03,23-05
battery,2023-05-14T21:00:00Z,-735.1449282285895,0.4988122613562478,11.313994140625,5.40561767578125,2023-05-14T17:29:55,-6.91,-391.19,-17.27,-972.11,589.244,56.28,98.04,15,4.01,23-05
battery,2023-05-14T21:30:00Z,-1342.2292940118684,0.48998698002762264,11.313994140625,6.06784228515625,2023-05-14T17:59:39,-14.7,-826.84,-128.85,-7183.28,577.4026875,55.606388888888915,96.07,15,3.96,23-05
battery,2023-05-14T22:00:00Z,-1322.119832413194,0.49796069893572065,11.313994140625,6.731287109375,2023-05-14T18:29:54,-19.08,-999,-89.45,-4908.79,565.4761875,55.44485714285718,94.08,15,3.95,23-05
battery,2023-05-14T22:30:00Z,-1740.5434096331553,0.49269063055515294,11.313994140625,7.5975556640625,2023-05-14T18:59:48,-22.61,-999,-106.32,-5877.29,549.7605,54.69411764705883,91.47,15,3.905,23-05
battery,2023-05-14T23:00:00Z,-1869.0874565219228,0.4895613972345988,11.313994140625,8.51798046875,2023-05-14T19:29:32,-21.51,-999,-62.19,-3383.87,532.91525,54.35027777777774,88.67,15,3.88,23-05
battery,2023-05-14T23:30:00Z,-1218.3988770122562,0.49818403124809263,11.313994140625,9.130220703125,2023-05-14T19:59:47,-15.07,-822.57,-106.45,-5673.91,521.66225,54.15566666666669,86.79,15,3.86,23-05
battery,2023-05-15T00:00:00Z,-1499.684306803937,0.4927208016316096,11.313994140625,9.875125,2023-05-14T20:29:41,-13.81,-747.88,-116.32,-6293.74,507.88815625,53.83285714285713,84.5,14,3.84,23-05
battery,2023-05-15T00:30:00Z,-1048.5687699214548,0.49801523758305444,11.313994140625,10.3981962890625,2023-05-14T20:59:56,-13.29,-717.65,-81.88,-4415.91,498.17934375,53.71888888888887,82.89,14,3.83,23-05
battery,2023-05-15T01:00:00Z,-775.7374037723189,0.4897062281767527,11.313994140625,10.779677734375,2023-05-14T21:29:40,-10.73,-576.42,-62.73,-3332,491.0828125,53.5127777777778,81.71,14,3.81,23-05
battery,2023-05-15T01:30:00Z,-617.4312643983621,0.4984699286354912,11.313994140625,11.089470703125,2023-05-14T21:59:55,-8.29,-444.69,-30.36,-1630.73,485.3085625,53.60500000000001,80.75,13,3.82,23-05
battery,2023-05-15T02:00:00Z,-527.1156420250079,0.49255559119913317,11.313994140625,11.3517021484375,2023-05-14T22:29:49,-8.06,-432.22,-33.47,-1781.36,480.41175,53.435961538461534,79.93,13,3.81,23-05
battery,2023-05-15T02:30:00Z,-473.52248869227714,0.48953948312335543,11.313994140625,11.5854404296875,2023-05-14T22:59:33,-7.64,-408.35,-11.56,-618.16,476.03971875,53.421212121212136,79.2,12,3.81,23-05
battery,2023-05-15T03:00:00Z,-456.79285155747675,0.49767325858275097,11.313994140625,11.8151318359375,2023-05-14T23:29:48,-5.62,-299.68,-40.65,-2166.3,471.73503125,53.298888888888854,78.49,12,3.8,23-05
battery,2023-05-15T03:30:00Z,-370.79732106661226,0.49232207622792984,11.313994140625,11.99928125,2023-05-14T23:59:42,-5.53,-295.07,-34.22,-1824.47,468.2784375,53.22530612244896,77.91,11,3.795,23-05
battery,2023-05-15T04:00:00Z,-362.13905887729,0.4985224994685915,11.313994140625,12.0368935546875,2023-05-15T00:29:57,-5.44,-289.34,-8.93,-475.07,464.86259375,53.17857142857141,77.34,11,3.79,23-05
battery,2023-05-15T04:30:00Z,-399.8035929521088,0.48987220466136927,0,0.3412246398925781,2023-05-15T00:59:42,-5.43,-288.59,-33.83,-1785.52,461.14565625,53.04490196078434,76.72,11,3.78,23-05
