name,time,avgWatts,interval,kWh_charge,kWh_discharge,local_dt,maxChargeCurrent,maxChargeWatts,maxDischargeCurrent,maxDischargeWatts,min_Ahr2empty,min_Voltage,min_m30Voltage,min_soc,pakMinT,pakMinV,yr_mo,yr_mo_1
d1_battery,2023-05-14T00:00:00Z,-1252.0871477378275,3.4596338913175795,11.313994140625,9.130220703125,2023-05-14T19:59:47,-4.06,-230.46,-128.85,-7183.28,521.66225,,54.15566666666669,86.79,15,3.86,23-05,
d1_battery,2023-05-15T00:00:00Z,95.89972979640969,23.717474613984436,16.458140625,12.0368935546875,2023-05-15T19:59:42,104.34,5895.24,-134.47,-6630.3,303.00453125,,49.277714285714275,50.41,7,3.53,23-05,
d1_battery,2023-05-16T00:00:00Z,-367.4013582637746,23.70787928250101,16.458140625,13.517828125,2023-05-16T19:59:37,36.54,1939.12,-128.6,-6584.63,387.57634375,,50.345294117647036,64.48,11,3.61,23-05,
d1_battery,2023-05-17T00:00:00Z,385.7896944599709,23.713257677819996,19.97455859375,11.6382119140625,2023-05-17T19:59:41,142.82,7812.84,-147.79,-7357.92,238.016171875,,48.61439999999999,39.6,9,3.485,23-05,
d1_battery,2023-05-18T00:00:00Z,29.87540484449325,23.70970433990161,19.97455859375,10.539728515625,2023-05-18T19:59:36,91.26,5175.59,-113.05,-5872.32,407.41090625,,50.48305555555557,67.78,7,3.61,23-05,
d1_battery,2023-05-19T00:00:00Z,1.2140773651032692,23.621952451136373,11.8035654296875,11.5978984375,2023-05-18T20:29:51,88.75,5037.31,-138.46,-7020.45,402.50634375,54.69586956521739,,66.97,10,3.625,23-05,
d1_battery,2023-05-20T00:00:00Z,-228.75762127990086,23.72211692101425,11.8035654296875,11.346298828125,2023-05-19T20:00:02,73.88,4059.85,-105.5,-5498.52,434.247125,52.12857142857145,,72.25,10,3.71,23-05,
d1_battery,2023-05-21T00:00:00Z,179.6216426875212,23.70835244377454,15.521578125,9.190166015625,2023-05-20T20:00:17,98.41,5585.71,-151.4,-7376.6,327.0220625,49.7977777777778,,54.41,13,3.55,23-05,
d1_battery,2023-05-22T00:00:00Z,116.00060476625254,23.714286187556052,15.521578125,12.4371494140625,2023-05-21T20:00:12,120.97,6765.48,-137.93,-6994.74,368.872875,50.43771428571431,,61.37,11,3.6,23-05,
d1_battery,2023-05-23T00:00:00Z,21.10677774873312,23.71452289495203,13.035953125,9.4203701171875,2023-05-22T20:00:07,101.61,5661.91,-130.42,-6826.98,409.60596875,51.419714285714285,,68.15,10,3.665,23-05,
d1_battery,2023-05-24T00:00:00Z,-137.24927253574126,23.71863610426585,11.76705078125,12.151970703125,2023-05-23T20:00:01,103.87,5882.02,-124.25,-6451,395.106,50.80600000000001,,65.74,10,3.63,23-05,
d1_battery,2023-05-25T00:00:00Z,137.470362627034,23.707722562882626,13.23019921875,14.906146484375,2023-05-24T20:00:27,107.92,6243.05,-114.7,-6267.72,367.5638125,50.66240000000003,,61.15,9,3.615,23-05,
d1_battery,2023-05-26T00:00:00Z,61.775757367856755,23.70496256781949,13.23019921875,9.9192373046875,2023-05-25T20:00:23,81.57,4631.47,-120.21,-6237.15,421.59684375,51.389600000000044,,70.14,7,3.655,23-05,
d1_battery,2023-05-27T00:00:00Z,-3.0260902027999754,23.708666907284,11.0161943359375,9.1480712890625,2023-05-26T20:00:18,85.61,4853.92,-127.47,-6563.84,411.52265625,50.967023809523795,,68.47,9,3.645,23-05,
d1_battery,2023-05-28T00:00:00Z,-60.24355041838819,23.721055056982568,11.0161943359375,11.100984375,2023-05-27T20:00:13,77.46,4393.54,-120.97,-6622.81,439.4845625,52.167647058823505,,73.12,12,3.715,23-05,
d1_battery,2023-05-29T00:00:00Z,15.494428050683345,23.708741413288653,13.19097265625,12.1591533203125,2023-05-28T20:00:08,91.56,5201.58,-121.45,-6495.97,366.423,50.49199999999998,,60.96,13,3.605,23-05,
d1_battery,2023-05-30T00:00:00Z,37.050654620994464,23.716493843131595,14.800259765625,12.5051318359375,2023-05-29T20:00:03,96.68,5482.59,-159.81,-7876.72,338.50390625,49.86999999999999,,56.32,6,3.565,23-05,
d1_battery,2023-05-31T00:00:00Z,88.9115203240554,23.70686130510436,14.800259765625,12.94021875,2023-05-30T20:00:19,88.53,5022.46,-139.56,-7124.77,381.66940625,50.3380769230769,,63.5,8,3.605,23-05,
d1_battery,2023-06-01T00:00:00Z,-580.2659240571978,3.9483761301305558,12.6459189453125,10.815375,2023-05-31T20:00:15,-5.32,-288.77,-96.25,-5219.76,504.83790625,54.220999999999975,,83.99,16,3.86,23-05,
