name,time,avgWatts,interval,kWh_charge,kWh_discharge,local_dt,maxChargeCurrent,maxChargeWatts,maxDischargeCurrent,maxDischargeWatts,min_Ahr2empty,min_Voltage,min_soc,pakMinT,pakMinV,yr_mo,yr_mo_1
m5_battery,2023-08-27T00:00:00Z,-1851.340894275168,307.8739242553711,30.029189453125,11.407470703125,2023-08-26T20:00:04,-26.95,-999,-43.54,-2293.97,469.93271875,52.654615384615425,78.19,20,3.76,23-08,
m5_battery,2023-08-27T00:05:00Z,-2860.5676503603204,277.44026470184326,30.029189453125,11.631998046875,2023-08-26T20:05:15,-27.54,-999,-92.54,-4814.25,465.64621875,52.30557692307691,77.47,20,3.73,23-08,
m5_battery,2023-08-27T00:10:00Z,-2267.966949578899,307.8917315006256,30.029189453125,11.828822265625,2023-08-26T20:10:05,-35.71,-999,-48.31,-2531.52,461.89621875,52.346176470588205,76.85,20,3.74,23-08,
m5_battery,2023-08-27T00:15:00Z,-2324.918418857543,307.4474310874939,30.029189453125,12.029197265625,2023-08-26T20:15:16,-33.1,-999,-46.56,-2436.15,458.05978125,52.23591836734694,76.21,20,3.73,23-08,
m5_battery,2023-08-27T00:20:00Z,-1707.8415378336185,285.9041049480438,30.029189453125,12.1666259765625,2023-08-26T20:20:27,-30.99,-999,-34.2,-1790.25,455.43634375,52.33901960784313,75.77,20,3.73,23-08,
m5_battery,2023-08-27T00:25:00Z,-1779.703152006871,307.89851903915405,30.029189453125,12.320068359375,2023-08-26T20:25:07,-31.23,-999,-39.42,-2059.32,452.50534375,52.2288888888889,75.29,20,3.725,23-08,
m5_battery,2023-08-27T00:30:00Z,-1423.334445009239,277.38539266586304,30.029189453125,12.4303408203125,2023-08-26T20:30:19,-22.54,-999,-46.43,-2427.41,450.39725,52.22156250000002,74.94,20,3.72,23-08,
m5_battery,2023-08-27T00:35:00Z,-1678.975494204359,307.5021390914917,30.029189453125,12.5747666015625,2023-08-26T20:35:08,-29.98,-999,-34.43,-1796.82,447.61915625,52.10457142857139,74.47,20,3.715,23-08,
m5_battery,2023-08-27T00:40:00Z,-1560.9697606470095,286.71894216537476,30.029189453125,12.7004873046875,2023-08-26T20:40:20,-27.77,-999,-33.17,-1727.41,445.2120625,52.06877551020407,74.07,20,3.71,23-08,
m5_battery,2023-08-27T00:45:00Z,-1487.7162835828879,306.74761724472046,30.029189453125,12.829375,2023-08-26T20:45:00,-25.46,-999,-31.24,-1623.89,442.73771875,52.006309523809534,73.66,20,3.71,23-08,
m5_battery,2023-08-27T00:50:00Z,-1418.8099044980481,276.7149615287781,30.029189453125,12.9401474609375,2023-08-26T20:50:11,-24.45,-999,-30.66,-1592.44,440.6069375,51.924848484848496,73.31,19,3.7,23-08,
m5_battery,2023-08-27T00:55:00Z,-1157.1822445227501,307.8760099411011,30.029189453125,13.03952734375,2023-08-26T20:55:01,-16.64,-866.25,-41.39,-2143.18,438.69128125,51.90800000000002,72.99,19,3.695,23-08,
m5_battery,2023-08-27T01:00:00Z,-1268.1070597530463,307.37975120544434,30.029189453125,13.1490859375,2023-08-26T21:00:12,-22.37,-999,-25.57,-1326.79,436.58446875,51.86722222222218,72.64,19,3.695,23-08,
m5_battery,2023-08-27T01:05:00Z,-1288.9221376556777,286.2897644042969,30.029189453125,13.2525,2023-08-26T21:05:23,-23.03,-999,-26.92,-1394.46,434.58296875,51.79153846153843,72.3,19,3.69,23-08,
