name,time,MesType,body
mes0x3e33,2023-04-14T18:04:13.2828897Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 91 44 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:13.901289858Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 f7 47 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:14.486414321Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 20 4c dd 45 16 0a
mes0x3e33,2023-04-14T18:04:15.107112701Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 6e 4f dd 45 16 0a
mes0x3e33,2023-04-14T18:04:15.697958351Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 84 53 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:16.322100936Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 a4 56 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:16.918180513Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 1d 5a dd 45 16 0a
mes0x3e33,2023-04-14T18:04:17.533587744Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 f5 5d dd 45 16 0a
mes0x3e33,2023-04-14T18:04:17.98495891Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 a7 61 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:18.598637344Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 d3 64 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:19.186177215Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 7a 68 dd 45 16 0a
mes0x3e33,2023-04-14T18:04:19.81226743Z,0x3e33,3a 33 3e 2c 94 1a 00 00 dc 0f dc 0f 01 01 3b 52 16 09 00 00 9b 02 00 05 3a 73 16 05 dc 0f 45 00 0e 15 00 1c 1c 00 22 58 2b 42 0b 6c dd 45 16 0a
