name,time,heat,kWhr,local_dt,old_plug,parm,watts
power,2023-01-17T22:05:11Z,,,2023-01-17T17:05:11,OFF,,
power,2023-01-17T22:09:07Z,OFF,,2023-01-17T17:09:07,,,
power,2023-01-17T22:09:08Z,,107.14,2023-01-17T17:09:08,,lamp_pwr,0
power,2023-01-17T22:09:49Z,,,2023-01-17T17:09:49,OFF,,
power,2023-01-17T22:14:07Z,OFF,,2023-01-17T17:14:07,,,
power,2023-01-17T22:14:08Z,,107.14,2023-01-17T17:14:08,,lamp_pwr,0
power,2023-01-17T22:14:49Z,,,2023-01-17T17:14:49,OFF,,
power,2023-01-17T22:19:07Z,,107.14,2023-01-17T17:19:07,,lamp_pwr,0
power,2023-01-17T22:19:07Z,OFF,,2023-01-17T17:19:07,,,
power,2023-01-17T22:19:49Z,,,2023-01-17T17:19:49,OFF,,
power,2023-01-17T22:24:07Z,,107.14,2023-01-17T17:24:07,,lamp_pwr,0
power,2023-01-17T22:24:07Z,OFF,,2023-01-17T17:24:07,,,
power,2023-01-17T22:24:49Z,,,2023-01-17T17:24:49,OFF,,
power,2023-01-17T22:29:07Z,,107.14,2023-01-17T17:29:07,,lamp_pwr,0
power,2023-01-17T22:29:07Z,OFF,,2023-01-17T17:29:07,,,
power,2023-01-17T22:29:49Z,,,2023-01-17T17:29:49,OFF,,
power,2023-01-17T22:34:07Z,,107.14,2023-01-17T17:34:07,,lamp_pwr,0
power,2023-01-17T22:34:07Z,OFF,,2023-01-17T17:34:07,,,
power,2023-01-17T22:34:49Z,,,2023-01-17T17:34:49,OFF,,
power,2023-01-17T22:39:07Z,,107.14,2023-01-17T17:39:07,,lamp_pwr,0
power,2023-01-17T22:39:07Z,OFF,,2023-01-17T17:39:07,,,
power,2023-01-17T22:39:49Z,,,2023-01-17T17:39:49,OFF,,
power,2023-01-18T19:27:47Z,,,2023-01-18T14:27:47,ON,,
power,2023-01-18T19:29:08Z,,107.14,2023-01-18T14:29:08,,lamp_pwr,0
power,2023-01-18T19:29:08Z,OFF,,2023-01-18T14:29:08,,,
power,2023-01-18T19:30:00Z,ON,,2023-01-18T14:30:00,,,
power,2023-01-18T19:30:09Z,,,2023-01-18T14:30:09,ON,,
power,2023-01-18T19:33:29Z,,,2023-01-18T14:33:29,,,
power,2023-01-18T19:34:08Z,,107.153,2023-01-18T14:34:08,,lamp_pwr,182
power,2023-01-18T19:34:08Z,ON,,2023-01-18T14:34:08,,,
power,2023-01-18T19:35:09Z,,,2023-01-18T14:35:09,ON,,
power,2023-01-18T19:39:08Z,,107.168,2023-01-18T14:39:08,,lamp_pwr,185
power,2023-01-18T19:39:08Z,ON,,2023-01-18T14:39:08,,,
power,2023-01-18T19:40:09Z,,,2023-01-18T14:40:09,ON,,
power,2023-01-18T19:44:08Z,,107.184,2023-01-18T14:44:08,,lamp_pwr,185
