name,time,Bat_Ahr,Bat_Watts_in,DC_A,DC_V,SOC,heat,interval,kWhr,local_dt,old_plug,parm,watts
power,2023-02-06T17:35:16Z,594.9924375,-954.6776,-17.06,55.96,99,,-0.5824618339538574,,2023-02-06T17:35:16,,,
power,2023-02-06T17:35:17Z,594.9895625,-946.2836,-16.91,55.96,98.99,,-0.6083567142486572,,2023-02-06T17:35:17,,,
power,2023-02-06T17:35:19Z,594.9814375,-974.4377,-17.41,55.97,98.99,,-1.8484699726104736,,2023-02-06T17:35:19,,,
power,2023-02-06T17:35:20Z,594.975125,-981.5383999999999,-17.54,55.96,98.99,,-0.4101893901824951,,2023-02-06T17:35:20,,,
power,2023-02-06T17:35:21Z,594.9721875,-984.8960000000001,-17.6,55.96,98.99,,-0.6173141002655029,,2023-02-06T17:35:21,,,
power,2023-02-06T17:35:23Z,594.9608125,-963.8033999999999,-17.22,55.97,98.99,,-2.448639392852783,,2023-02-06T17:35:23,,,
power,2023-02-06T17:35:26Z,594.946625,-970.173,-17.34,55.95,98.99,,-2.8737454414367676,,2023-02-06T17:35:26,,,
power,2023-02-06T17:35:27Z,594.940875,-976.502,-17.45,55.96,98.99,,-0.6120378971099854,,2023-02-06T17:35:27,,,
power,2023-02-06T17:35:28Z,594.935125,-958.5948,-17.13,55.96,98.99,,-0.6104738712310791,,2023-02-06T17:35:28,,,
power,2023-02-06T17:35:29Z,594.9323125,-962.512,-17.2,55.96,98.99,,-0.6161811351776123,,2023-02-06T17:35:29,,,
power,2023-02-06T17:35:30Z,594.9294375,-955.2372,-17.07,55.96,98.98,,-0.6142151355743408,,2023-02-06T17:35:30,,,
power,2023-02-06T17:35:31Z,594.9215,-948.5219999999999,-16.95,55.96,98.98,,-0.5718426704406738,,2023-02-06T17:35:31,,,
power,2023-02-06T17:35:32Z,594.915875,-959.7139999999999,-17.15,55.96,98.98,,-0.6130597591400146,,2023-02-06T17:35:32,,,
power,2023-02-06T17:35:33Z,594.9129375,-968.6676,-17.31,55.96,98.98,,-0.6162014007568359,,2023-02-06T17:35:33,,,
power,2023-02-06T17:35:34Z,594.9105625,-967.3755,-17.29,55.95,98.98,,-0.6291074752807617,,2023-02-06T17:35:34,,,
power,2023-02-06T17:35:35Z,594.9015625,-960.2736,-17.16,55.96,98.98,,-1.6379287242889404,,2023-02-06T17:35:35,,,
power,2023-02-06T17:35:36Z,594.8986875,-960.2736,-17.16,55.96,98.98,,-0.6219131946563721,,2023-02-06T17:35:36,,,
power,2023-02-06T17:35:37Z,594.8935,-961.3928,-17.18,55.96,98.98,,-0.6146450042724609,,2023-02-06T17:35:37,,,
power,2023-02-06T17:35:38Z,594.8906875,-955.7968,-17.08,55.96,98.98,,-0.6159389019012451,,2023-02-06T17:35:38,,,
power,2023-02-06T17:35:39Z,594.885,-964.1908000000001,-17.23,55.96,98.98,,-1.2253921031951904,,2023-02-06T17:35:39,,,
power,2023-02-06T17:35:40Z,594.8796875,-964.1908000000001,-17.23,55.96,98.98,,-1.0030791759490967,,2023-02-06T17:35:40,,,
power,2023-02-06T17:35:41Z,594.8740625,-954.2885,-17.05,55.97,98.98,,-0.6132731437683105,,2023-02-06T17:35:41,,,
power,2023-02-06T17:35:42Z,594.868375,-944.6048,-16.88,55.96,98.97,,-0.6154232025146484,,2023-02-06T17:35:42,,,
power,2023-02-06T17:35:44Z,594.859875,-963.0716000000001,-17.21,55.96,98.97,,-0.6007177829742432,,2023-02-06T17:35:44,,,
power,2023-02-06T17:35:45Z,594.8541875,-958.5948,-17.13,55.96,98.97,,-0.5573375225067139,,2023-02-06T17:35:45,,,
power,2023-02-06T17:35:46Z,594.8513125,-966.2565000000001,-17.27,55.95,98.97,,-0.671877384185791,,2023-02-06T17:35:46,,,
power,2023-02-06T17:35:47Z,594.846125,-952.9988000000001,-17.03,55.96,98.97,,-0.6148743629455566,,2023-02-06T17:35:47,,,
power,2023-02-06T17:35:48Z,594.8405625,-947.9624000000001,-16.94,55.96,98.97,,-0.6134016513824463,,2023-02-06T17:35:48,,,
power,2023-02-06T17:35:49Z,594.8358125,-958.5948,-17.13,55.96,98.97,,-1.0264849662780762,,2023-02-06T17:35:49,,,
power,2023-02-06T17:35:50Z,594.833,-965.6970000000001,-17.26,55.95,98.97,,-0.6368148326873779,,2023-02-06T17:35:50,,,
power,2023-02-06T17:35:51Z,594.8273125,-960.2736,-17.16,55.96,98.97,,-0.6200628280639648,,2023-02-06T17:35:51,,,
power,2023-02-06T17:35:52Z,594.824375,-968.6676,-17.31,55.96,98.97,,-0.6160933971405029,,2023-02-06T17:35:52,,,
power,2023-02-06T17:35:53Z,594.8206875,-940.5195,-16.81,55.95,98.97,,-0.6004130840301514,,2023-02-06T17:35:53,,,
power,2023-02-06T17:35:55Z,594.807625,-926.138,-16.55,55.96,98.96,,-2.8658013343811035,,2023-02-06T17:35:55,,,
power,2023-02-06T17:35:56Z,594.805375,-940.128,-16.8,55.96,98.96,,-0.614447832107544,,2023-02-06T17:35:56,,,
power,2023-02-06T17:35:57Z,594.8020625,-956.916,-17.1,55.96,98.96,,-0.6141195297241211,,2023-02-06T17:35:57,,,
power,2023-02-06T22:28:54Z,,,,,,OFF,,,2023-02-06T17:28:54,,,
power,2023-02-06T22:29:05Z,,,,,,ON,,,2023-02-06T17:29:05,,,
power,2023-02-06T22:29:55Z,,,,,,,,107.74,2023-02-06T17:29:55,,lamp_pwr,0
power,2023-02-06T22:29:56Z,,,,,,ON,,,2023-02-06T17:29:56,,,
power,2023-02-06T22:33:31Z,,,,,,,,,2023-02-06T17:33:31,ON,,
power,2023-02-06T22:34:55Z,,,,,,,,107.74,2023-02-06T17:34:55,,lamp_pwr,0
power,2023-02-06T22:34:56Z,,,,,,ON,,,2023-02-06T17:34:56,,,
power,2023-02-06T22:38:31Z,,,,,,,,,2023-02-06T17:38:31,ON,,
power,2023-02-06T22:39:54Z,,,,,,,,107.74,2023-02-06T17:39:54,,lamp_pwr,0
power,2023-02-06T22:39:56Z,,,,,,ON,,,2023-02-06T17:39:56,,,
power,2023-02-06T22:43:31Z,,,,,,,,,2023-02-06T17:43:31,ON,,
power,2023-02-06T22:44:54Z,,,,,,,,107.74,2023-02-06T17:44:54,,lamp_pwr,0
